AccXL_mean,AccXL_std,AccXL_rms,AccXL_fft1,AccXL_fft2,AccXL_energy,AccXL_peak_to_peak,AccXL_skewness,AccXL_kurtosis,AccYL_mean,AccYL_std,AccYL_rms,AccYL_fft1,AccYL_fft2,AccYL_energy,AccYL_peak_to_peak,AccYL_skewness,AccYL_kurtosis,AccZL_mean,AccZL_std,AccZL_rms,AccZL_fft1,AccZL_fft2,AccZL_energy,AccZL_peak_to_peak,AccZL_skewness,AccZL_kurtosis,GroXL_mean,GroXL_std,GroXL_rms,GroXL_fft1,GroXL_fft2,GroXL_energy,GroXL_peak_to_peak,GroXL_skewness,GroXL_kurtosis,GroYL_mean,GroYL_std,GroYL_rms,GroYL_fft1,GroYL_fft2,GroYL_energy,GroYL_peak_to_peak,GroYL_skewness,GroYL_kurtosis,GroZL_mean,GroZL_std,GroZL_rms,GroZL_fft1,GroZL_fft2,GroZL_energy,GroZL_peak_to_peak,GroZL_skewness,GroZL_kurtosis,AccXR_mean,AccXR_std,AccXR_rms,AccXR_fft1,AccXR_fft2,AccXR_energy,AccXR_peak_to_peak,AccXR_skewness,AccXR_kurtosis,AccYR_mean,AccYR_std,AccYR_rms,AccYR_fft1,AccYR_fft2,AccYR_energy,AccYR_peak_to_peak,AccYR_skewness,AccYR_kurtosis,AccZR_mean,AccZR_std,AccZR_rms,AccZR_fft1,AccZR_fft2,AccZR_energy,AccZR_peak_to_peak,AccZR_skewness,AccZR_kurtosis,GroXR_mean,GroXR_std,GroXR_rms,GroXR_fft1,GroXR_fft2,GroXR_energy,GroXR_peak_to_peak,GroXR_skewness,GroXR_kurtosis,GroYR_mean,GroYR_std,GroYR_rms,GroYR_fft1,GroYR_fft2,GroYR_energy,GroYR_peak_to_peak,GroYR_skewness,GroYR_kurtosis,GroZR_mean,GroZR_std,GroZR_rms,GroZR_fft1,GroZR_fft2,GroZR_energy,GroZR_peak_to_peak,GroZR_skewness,GroZR_kurtosis,segment_length,segment_start,segment_end,peak_position,segment_snr_accy,rep_id,set_id,file_id,activity,pid,segmentation_method,filter_applied
3568.1510606634065,6331.0798702703905,7267.343002463579,476613.1919764105,291565.0457278785,1352045422475.6824,27380.453633284378,2.1240393522535443,3.8262735074966283,3468.1441755383626,6428.428341221418,7304.294282169867,468044.16670332494,290265.03345226456,1365829502989.809,27410.49687076024,1.8506362841145576,2.1487551097156254,20434.37967712786,25721.283106577965,32850.39234830764,2522566.46839588,919941.0754652607,27626195902406.375,57580.29305219627,0.5116761533249227,-1.6598729351074448,9046.312099231993,15464.997881681009,17916.526507030016,1121365.4460417044,548918.9841392795,8217649205173.994,56095.79087516984,1.4264122460965125,0.5199449729903858,10529.408697101495,18990.93992787446,21714.60906520615,1229607.8553576805,222812.5093673822,12071020719481.164,67087.33868253892,1.5681298976517557,0.9689921848685192,11511.497971261493,19968.755039242227,23049.20309597751,1512207.6156431907,766388.4510034502,13600403542006.254,64829.66759482452,1.4476664145464075,0.45625404575497797,16081.823503662832,20811.21484301016,26300.79296228326,1945887.086687923,613378.6980058531,17708331787389.152,55960.412442711124,0.6417131601925496,-1.4017931221144175,3422.569793346818,5625.49201287665,6584.842016120741,460066.89974526915,269887.5486917391,1110019696058.088,22810.390103226357,1.5443651282129316,1.153129191917718,13473.427759360759,21256.47958373911,25166.866707650173,1573994.368156431,491892.0702963729,16214302204944.148,64565.6456902559,1.117952085464822,-0.4861477359707611,11592.805286043897,18924.025843351923,22192.608871423356,1467065.1878800911,559033.4872985154,12608304346111.453,63905.360734575836,1.2510611629271957,0.03792840057421065,10770.43332308655,18581.90281105671,21477.647591079673,1156119.6822527128,34602.56006071154,11809007258793.227,68203.82980798898,1.5825960235118626,1.20992887732577,10724.508840811111,18091.698698930726,21031.51567741915,1283829.0583226758,324562.08940192615,11323511083251.902,57675.25467055446,1.3388937370405962,0.1304017372036408,63,79,142,120,0.8429050654050593,1,1,1,Jumping Jack,TL,original,True
4735.727324681579,10427.401760619947,11452.415499409532,694370.8964616836,525445.1087428745,3357640211740.5615,45393.57280638788,2.23544633345289,4.1457873492042925,5076.425931101308,10397.836645832138,11570.873223200033,760880.360696705,620682.7894006261,3427458742972.608,42044.11322127472,1.9655521257356454,2.8763923367615405,9606.859626054418,18698.063732739665,21021.639784477058,1413579.0073234988,1077190.288994766,11312879084244.701,58841.44457194033,1.5593071843521986,0.7093512850908343,6699.419375777879,13854.728723289136,15389.468085950246,989922.6487947128,768896.1341118839,6062994635993.117,48727.33849272808,1.8159972684268908,1.7388546667117968,7331.201234661965,15818.389817235926,17434.67716802185,1078432.9160396133,816887.7564096381,7781579979600.445,55965.65451322702,1.9526890854708319,2.1973595553871315,5492.986142204248,13772.240122557245,14827.25513208104,815900.6467622571,644381.491983796,5628095865646.682,66689.8767665494,2.42968005147087,4.747113982406392,6659.89631301908,13158.59894151275,14747.981048392543,985008.6851417049,764751.6026999716,5568075392095.887,48476.78524348675,1.6816451145121274,1.34760863381854,5362.083556334714,11000.839371036971,12238.072026772526,799315.091462606,638632.5571288433,3834122417471.2886,41519.69564129096,1.890600445768318,2.2476703975333274,8567.108491606547,16917.26806576971,18962.8401542614,1268455.5536867576,987886.7171582879,9205486251931.355,51339.61865623016,1.617318051932183,0.8752833225974008,5926.8452477785195,12126.842095934348,13497.695870438043,872553.2273278175,668743.0683094563,4664007521557.509,47580.089145054655,1.8085202725219676,1.7503462026159564,5533.09417852319,12765.267798349903,13912.842741582192,804309.678974208,587958.2388362321,4955320144691.1045,60175.7963262663,2.398762172261943,4.853647535528905,6613.3383559859885,14810.758423815738,16220.197572760459,977965.7920245639,755196.5471075653,6735227118064.238,60541.625901993364,2.2168824036462684,3.7293896666709445,35,142,177,164,0.36944059241712485,2,1,1,Jumping Jack,TL,original,True
3579.119884510072,9341.514471542527,10003.698904392008,549911.0236682801,485921.0168997431,2561894189305.1855,52365.85006785206,3.065224656859057,9.604696091709764,3020.4702385663904,6808.772444034336,7448.6658306509225,460165.1133929912,395427.8386251535,1420355140011.689,25582.06531922062,2.0163755995019867,2.45233180499915,9543.630447339885,19362.273556882225,21586.535604559933,1424301.7809305873,1139547.5396043228,11929050096817.5,57596.24702798787,1.5952611839648978,0.6704613862108659,5942.803823213013,13633.598398115904,14872.522400800199,910117.7566961353,794482.2298885239,5662513217594.975,52352.99949191744,2.050552306303466,2.6397477267416676,4597.358774683171,12334.557351316613,13163.472670844689,711103.6268532838,643987.1732392802,4435891526555.5205,56558.88896547844,2.6167018939129347,5.57713884211339,7496.816557415902,16633.039939283153,18244.45877841636,1108014.0704834568,853563.0545338886,8521223068603.742,57938.68955450335,2.0572895528286597,2.7019288086768345,6626.463281503442,14761.16023735098,16180.29255526194,974999.7437815227,740842.5981338456,6702127799650.943,59083.18658257308,2.1714289098540998,3.53692434512503,2866.4845367485177,6282.823535979255,6905.8384852002755,429890.83600064606,349676.17793684156,1220879492702.0344,23864.021600399123,2.028317707969372,2.689402761529343,6138.22280905329,13266.494223863652,14617.716929992514,927676.3960017277,776894.809089026,5470147795081.977,48820.94062351431,1.9593260246109956,2.352981728739941,5661.585693172541,13179.939184609213,14344.488470180226,830330.0727094869,625969.8114502451,5267567346461.016,50826.64465911117,2.274276743709131,3.785161864696007,5918.051415246095,13107.510978900613,14381.591588398564,886026.8994854708,716251.5768541577,5294852521356.707,49354.45773294711,2.1008392691231017,3.0407549795670556,4215.026281595039,12149.36415409274,12859.762669011061,649819.4555345096,582615.5428209462,4233561495124.237,58535.7163525165,3.054138585361757,8.422568495128099,32,177,209,190,0.46166647013303436,3,1,1,Jumping Jack,TL,original,True
6326.605001546959,10707.326993744877,12436.751271798303,887540.760155942,572993.0771343694,3959623224232.3633,40476.22667081415,1.4587521502908023,0.8354672075781386,5433.242757870916,9914.709734252097,11305.821331527844,770814.4819961751,529083.6202689217,3272232857099.0093,39983.27116763335,1.5006387093258773,0.8392794474859082,13926.547170903661,21782.28097884111,25853.75177309065,1911948.3117787677,1118184.8453467258,17111461907061.45,60252.63834529209,1.0600342002477983,-0.6354798639071344,7465.532421078378,13919.080782858557,15794.777116816647,1072249.2385791398,769978.6819967299,6386559594749.818,53716.226702842796,1.730651018857448,1.6934292473262893,9110.002557031494,16721.18946454658,19041.804633447533,1215125.714015012,654506.7307336215,9282312286678.63,61247.27329848517,1.5803120920450882,1.0109076874513283,7549.230451271945,14783.245506148365,16599.25384170829,1078045.4040461846,741233.0957481115,7053701839397.565,60828.491717902914,2.0597885389528217,3.2860441412495636,10406.774250775296,17383.968705991036,20260.881478293966,1398865.9459912695,737141.6236969797,10508884947903.375,58542.49697341401,1.4141515463002514,0.6188607351697981,6000.630468109378,11827.201516115216,13262.362599386304,854377.0248780849,591631.9017047383,4502790699970.576,59444.80592115711,2.527647301670875,6.749782175872257,8865.922482514612,15367.31410148759,17741.44650697167,1158077.5644813317,526048.8398341927,8057828458489.277,52427.02318560357,1.4200135680567165,0.4854236363985116,7779.164595782943,14536.039238772652,16486.71703400713,1057099.497248323,584940.2234764555,6958383067121.177,55613.52892512954,1.8458255870382119,2.244271484944697,8891.105286009577,16214.606344220836,18492.301428025505,1216861.6987231206,721637.7058258979,8754309429886.824,59033.44756948211,1.7442988887369477,1.7586370889951155,8272.808460228329,16213.838011246155,18202.414753942838,1080360.3865937148,495700.9000964585,8481994313588.634,63636.11592695273,1.6601117331585158,1.2944206783533811,49,209,258,229,0.5579297554629017,4,1,1,Jumping Jack,TL,original,True
9030.586751239525,14485.34736426552,17069.762310445243,1103211.2049975595,330332.9756944263,7459245704578.48,58487.86743510463,1.6549038395320577,1.80518742818386,10391.171750563448,14981.688139411504,18232.592516049142,1281538.071143148,462044.9538519002,8510142204321.053,56134.99877501873,1.3727605983085587,0.8430381124551274,19335.319243488164,23039.96397401605,30078.140071679314,2256727.486615832,579064.2363378074,23160179460391.965,60482.879388556445,0.5093124223374731,-1.489654996229088,12978.13421144529,16669.236992136364,21125.705420418366,1476400.1446903043,266295.65746274166,11425162995463.527,52071.34529344137,0.7725247198326568,-0.9703985651378848,10380.314433017997,15818.677163543534,18920.398381977466,1282433.9438404138,526600.4527616682,9164325758278.027,58965.97809176923,1.4090212094688468,0.8534288791820468,12879.341909423852,18471.9129072205,22518.63704738324,1441172.612698236,259733.37834750535,12981478770477.588,54955.66598966678,0.9723709776245933,-0.7533812565494933,14251.542009092174,18730.114218684714,23535.58217427167,1558701.0217176068,191666.1185832035,14180444884016.494,60149.0871846808,0.8347152315445658,-0.8531139674461032,7307.461444193648,9237.86233582125,11778.67111748866,881935.4553066787,277467.03887241223,3551669588325.4155,28916.040733989492,0.7194656124063993,-1.0954121454729797,16164.845558275067,20309.722644538007,25957.40868848324,1858381.0811398965,426847.9656094662,17248948885016.197,59999.34350401996,0.7049553677563185,-1.159674044367532,11959.287782861662,16424.66878644905,20317.340106860887,1320347.8766655822,275211.4542656258,10567534310857.164,55818.35957447003,0.991511721042533,-0.48406582815945365,14803.419275687169,18580.570929837948,23756.658820855373,1658794.38343211,353601.4122263438,14448098261261.45,55407.86220401629,0.768163058906982,-0.9222001835866189,11198.221345336953,17240.30430730021,20557.92435795682,1309658.9001098848,466708.2097322409,10819283300031.342,61375.157779908215,1.4035382338196196,0.6421410565234691,70,258,328,287,0.5890098435838156,5,1,1,Jumping Jack,TL,original,True
3948.8980793918977,9135.681432996704,9952.611279791134,557697.2621030974,416818.12971406494,2535794464937.618,48020.56811491532,3.2544769245975993,10.623186197712561,3260.942954686549,6878.490773680499,7612.317930652107,456444.7637396796,328830.9768323598,1483453037499.5864,33145.72947426297,2.734586007736361,7.076376486984273,18325.93970684665,25129.140884124,31101.668567990542,2411422.423112135,1189666.3540224982,24763232965456.156,57388.907152651846,0.6945605197479425,-1.445031778807131,6337.801782119233,14516.942036476092,15840.11797682834,939268.1973599535,741035.146066406,6423279040507.913,60539.901330985325,2.0810604559777306,2.879943564704737,9068.088084943092,17847.234878031133,20018.841482660726,992623.964303755,55957.37505969115,10259302766282.188,70717.39713053059,1.7790917583241197,1.7392493183885254,10904.665392930585,20472.27812559874,23195.385295003114,1281965.06575103,199959.58415875788,13773463013981.352,64124.613321225974,1.5809545230997182,0.735040355105534,14062.84407882439,19935.09566731574,24396.139507109667,1823791.4982461827,866174.3251678337,15236393544969.14,51753.22325125859,0.8229010127627169,-1.1807911183549644,2237.2204302347973,5055.956372690802,5528.81995510911,317044.52774939325,232636.3032799232,782536962457.925,27441.493810103893,2.633347908353902,6.353091328621922,17480.438388007664,24264.756375015502,29905.586905723612,2276351.6355712973,1082953.6614648632,22895209681300.156,59834.98994363192,0.7596759120997084,-1.2843732237210057,11151.217844358509,19426.382879362885,22399.41988507611,1593676.312350125,1130212.4404597683,12844390686411.342,64935.597827113466,1.4242474548389714,0.43315538247589735,6912.8385616669575,15171.292312561316,16671.995903695864,990659.2093461973,705000.0433790811,7115659453769.004,62458.95925110795,1.9771821273275956,2.5320614695667,8926.02371717773,17744.72507234481,19863.261748583034,1297225.7891091895,975709.6755828494,10100458682693.68,63859.32014902785,1.7423887987955688,1.4629952893657405,57,95,152,138,0.970228398836089,1,2,2,Jumping Jack,TL,original,True
4517.9058886231305,10003.361768007524,10976.279892572444,649423.663867507,462596.4737274327,3084255239170.3076,47004.896994048686,2.057960562310975,3.175546853357221,4358.130190796184,8721.315312013016,9749.596890717168,629211.138402689,455643.2822403666,2433398772005.9355,35661.52802590298,1.778008424554156,1.7775022394852886,10989.028060143868,19152.37334028304,22081.035806144013,1562364.4703864276,1048717.5259112872,12481846842168.672,62124.30933169045,1.3310046779737164,0.11781936939995408,6794.338138859518,13730.724213063579,15319.785186495648,996362.0323811892,767026.3436723739,6008212944905.509,46682.145452326404,1.6915473736394806,1.1603637533924216,6550.905422267368,12053.668006774327,13718.792740945793,938661.0283684068,652645.3025979813,4818055021287.091,42761.373337292935,1.5664252239292822,0.9225789629432732,5792.313300346917,13981.936354611757,15134.247176314706,833154.8898965989,581391.7557911895,5863563202401.015,61064.402647345356,2.531295608980455,5.202609766927363,8338.675009237417,15466.685682204874,17571.336514386203,1180353.8383894106,775252.9454067738,7904047792686.127,56067.879671738214,1.6805626059937224,1.544804584769925,4580.730560602878,8423.303951664673,9588.281489973628,656543.387649156,458201.2797949895,2353539633432.8545,32500.7795920163,1.6616167454234336,1.55140145910884,8516.384597971402,15536.664801139746,17717.69623183385,1190430.6635124746,748660.3467406543,8036269049946.607,50895.30929610196,1.5337175269642553,0.795987046715013,9297.468773206185,16429.88577743885,18878.137414703586,1317793.6044431909,874994.185303525,9123432249559.844,49178.62432858551,1.3726708126717828,0.1863184055217837,8459.485011046847,15980.282004341178,18081.269302524,1219616.6287683519,869679.9413178712,8369466869514.158,57321.68024087973,1.789599375090385,1.9921790800394517,7653.396759288735,15288.176649591964,17096.86600591524,1095537.5797848015,760229.9426355886,7482952376940.038,55381.758868467645,1.8475635393523195,1.9615377426885319,42,152,194,166,0.5505886869683155,2,2,2,Jumping Jack,TL,original,True
4927.9036923569465,9880.806818434676,11041.493476172975,693266.5440280559,451908.84412354307,3121013201519.882,50526.11531949086,2.388725505868667,5.838177588977048,7554.984751548812,13313.34783492614,15307.613307431946,1076545.5040420555,741881.9109648665,5998669444348.61,54676.45291693176,1.7908901838099411,2.5694967925686045,13401.58978608902,21381.823257625663,25234.59876072824,1818907.6209440534,1003804.5135781465,16301695350142.654,61178.2482356864,1.0797753332719267,-0.6127512177204126,9006.637835981057,15509.671054385417,17935.144864867034,1247138.6094697944,759542.7552702026,8234737185888.418,47882.79579733038,1.3842051883261624,0.32485297383490463,5130.580067831336,10260.632493203031,11471.853860340188,672875.9712701573,310019.19355099136,3369047833420.8525,44590.715377856846,2.37160933200799,5.1713923100481,9709.829151824904,17657.51125556075,20151.141056969533,1288985.7123943006,634000.1673819016,10395353238985.81,64848.61852882549,1.5455072421411278,0.9470901626158668,10409.034819052566,17511.74632616378,20371.77619296264,1437301.6049595394,873294.7881074727,10624237190557.68,54856.823798883095,1.274433357447178,-0.06481885802679965,6915.011567364461,11975.204399141136,13828.337043115254,952231.807848457,574125.3890803618,4895306377676.635,40768.79389965829,1.4820311505845445,0.7578996755616165,6674.56296311469,13694.079899690818,15234.093837432485,934742.5626274707,590717.2754810675,5941186945221.08,52841.307797735055,1.8252178024220198,1.7755144956809543,8564.974908523602,15095.40261327209,17355.978083658112,1175761.7660486244,698772.8855915959,7711487366154.771,46405.914041501106,1.4128996953547601,0.32502536736537824,9684.12540466869,17843.203185980838,20301.77787262845,1282419.2714115072,620611.7563196294,10551351930612.379,59760.89988515958,1.5535141617103176,0.7700947575946575,6375.718302310342,12068.680317762823,13649.279412583317,931737.1415652493,697253.6607972106,4769352409158.932,47286.429037279646,1.8112429272768162,2.1252458843985815,47,194,241,222,0.45380599141225636,3,2,2,Jumping Jack,TL,original,True
6546.180228739732,13172.327408052326,14709.272073493967,818552.0860298307,267967.73329765775,5538884734260.979,58919.000615946745,2.0676825770085028,3.437457920457131,9027.23973415574,14851.376397606558,17379.71340734091,1237635.299019898,731686.9326436169,7732593615905.418,57877.06393678111,1.515848254966402,1.3166637842533868,12495.720330062943,19722.724391966025,23347.995288859383,1670678.5488096701,868352.9783258673,13955299430620.16,59234.41509545716,1.1420250219635857,-0.39170678036477646,12013.325078106684,18065.542592155154,21695.248525454575,1609779.7980361606,848976.781612717,12049505499679.715,55589.56229552671,0.9602456419281107,-0.8084249438463988,7704.907264225834,14309.92464025283,16252.370262827359,1018556.8426771734,512597.1845697878,6761972202496.896,61374.26045496621,1.810132975749789,2.2468424128009596,8311.375621303243,16275.004330110956,18274.428326585876,1126712.9530601418,652983.0674705872,8549241104986.22,63928.32683250952,1.8125536744807251,1.9570721106011293,9997.447506156062,16456.360726411353,19255.14905151659,1405885.4588753148,920634.6684369994,9491475583900.672,57609.125976096664,1.3659598925035856,0.4612440744212676,8525.070328281967,14885.321714165488,17153.705915526247,1164166.5707398602,689821.4746862554,7532790441890.82,52308.297814259655,1.6920428722297987,1.6643630266654057,8501.140696217702,14771.689716066167,17043.245295559875,1135626.320921743,586876.6177140452,7436088581238.367,49813.01806130705,1.4676415876921853,0.5883525392634663,8455.881141931746,13083.32459241151,15578.039295010036,1144373.4223803373,635005.23161791,6212487891888.045,43064.73298898662,1.1266239668586862,-0.2675978827439356,9338.84956240166,14738.96282951027,17448.528202655238,1258450.4776882143,688645.1399129689,7793949092834.691,50041.82700591752,1.2132273387463481,0.004721674745578497,10074.675841946355,18121.718842565188,20733.92840561768,1345560.447758214,729696.2154598723,11005332150509.56,64556.25496539311,1.5623723659112014,0.9570942621435043,51,241,292,261,0.42600178354578566,4,2,2,Jumping Jack,TL,original,True
7219.493763752709,12254.782359236633,14223.247901837389,929118.7405984421,506183.5832285536,5178899990454.314,58227.77520580974,2.2484904552892924,5.007411648723425,5669.721040523896,9027.52963301919,10660.301494441843,726297.0781971664,373160.32745737425,2909235915581.413,31256.37626578149,1.5438136502768909,1.0056458289098087,18943.298213204347,21332.15352844799,28529.09604869504,2115458.837772392,334428.76440171973,20836078626705.07,56452.17302337693,0.40781568781379385,-1.556386408704249,19497.10207391106,22844.58774030689,30033.517581280532,2125451.7220560936,419222.30151166895,23091511764610.227,59743.26654078859,0.5133291243668057,-1.466524586263859,13229.162958039571,17658.365284837044,22064.193098844662,1556219.8246387644,449420.2402181993,12462812597839.473,60745.07296374311,1.0633884975880588,-0.23912605651005414,14514.81175426254,19525.560340530395,24329.555418736516,1552304.788746902,596376.9656077711,15153338031958.309,62391.54815692211,0.9030632614935874,-0.7391360379339194,16812.829800897634,19752.575380951275,25939.072460173167,1822165.396396173,359036.32854237425,17224588290409.316,56302.56007298069,0.4837153447068587,-1.5207946052959993,5181.075458054538,9083.982642506448,10457.642351477387,679931.3025196048,363000.1451117721,2799674458916.1846,39443.221351580956,1.6934025800129395,1.6762779240845855,19546.024787031864,23607.74235053204,30649.185696595072,2091246.759115504,373002.1113863175,24047938146927.812,57788.56481747946,0.5682744126583532,-1.4759763743999716,9227.087940902982,14934.858754917806,17555.317083393915,1032923.381668816,293675.43439410295,7889642442201.658,58171.77779631873,1.4630577053178047,0.8927617715997274,13789.590575002952,18072.264457526268,22732.34591609448,1588287.0217790364,475068.0546630882,13229044501733.816,63522.54466129802,0.9992502738792539,-0.27026890288519034,12442.033884420613,17176.635391672004,21209.455687487836,1428229.2913508553,571541.7390818448,11515929870323.455,59276.40561136321,1.0454467464857649,-0.2887106665222312,75,292,367,324,0.8106362434826686,5,2,2,Jumping Jack,TL,original,True
